,BF OFF,,,,BF OFF,,,,BF ON,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,
Band: 2.4G,1T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss
Ch44,60,60,60,60,11.5,9.5,60,60,9.5,60,60,11,9.5,60,60,9.5,60,60,60,60,60,11,7.5,60,60,9.5,60,60,60,60,60,14,11,60,60,11,60,60,60,60,60,14,9,60,60,11,60,60,60,60,60,17.5,14,60,60,14,60,60,60,60,60,17.5,12,60,60,14,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,4,1.5,60,60,1.5,60,60,60,60,60,8.5,-0.5,60,60,1.5,60,60,60,60,60,6,4,60,60,4,60,60,60,60,60,6,2,60,60,4,60,60,60,60,60,9,7,60,60,7,60,60,60,60,60,9,5,60,60,7,60,60,60,60,60
Ch48,60,60,60,60,11.5,9.5,60,60,9.5,60,60,11,9.5,60,60,9.5,60,60,60,60,60,11,7.5,60,60,9.5,60,60,60,60,60,14,11,60,60,11,60,60,60,60,60,14,9,60,60,11,60,60,60,60,60,17.5,14,60,60,14,60,60,60,60,60,17.5,12,60,60,14,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,4,1.5,60,60,1.5,60,60,60,60,60,8.5,-0.5,60,60,1.5,60,60,60,60,60,6,4,60,60,4,60,60,60,60,60,6,2,60,60,4,60,60,60,60,60,9,7,60,60,7,60,60,60,60,60,9,5,60,60,7,60,60,60,60,60
Ch52,60,60,60,60,18.5,15.5,60,60,15.5,60,60,18,15.5,60,60,15.5,60,60,60,60,60,18,13.5,60,60,15.5,60,60,60,60,60,17.5,16.5,60,60,16.5,60,60,60,60,60,17.5,14.5,60,60,16.5,60,60,60,60,60,17,11.5,60,60,11.5,60,60,60,60,60,17,9.5,60,60,11.5,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,9.5,7.5,60,60,7.5,60,60,60,60,60,8.5,5.5,60,60,7.5,60,60,60,60,60,12.5,9.5,60,60,9.5,60,60,60,60,60,12.5,7.5,60,60,9.5,60,60,60,60,60,15.5,12.5,60,60,12.5,60,60,60,60,60,15.5,10.5,60,60,12.5,60,60,60,60,60
Ch56,60,60,60,60,18.5,15.5,60,60,15.5,60,60,18,15.5,60,60,15.5,60,60,60,60,60,18,13.5,60,60,15.5,60,60,60,60,60,17.5,16.5,60,60,16.5,60,60,60,60,60,17.5,14.5,60,60,16.5,60,60,60,60,60,17,11.5,60,60,11.5,60,60,60,60,60,17,9.5,60,60,11.5,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,9.5,7.5,60,60,7.5,60,60,60,60,60,8.5,5.5,60,60,7.5,60,60,60,60,60,12.5,9.5,60,60,9.5,60,60,60,60,60,12.5,7.5,60,60,9.5,60,60,60,60,60,15.5,12.5,60,60,12.5,60,60,60,60,60,15.5,10.5,60,60,12.5,60,60,60,60,60
Ch60,60,60,60,60,17,15,60,60,15,60,60,17.5,15,60,60,15,60,60,60,60,60,17.5,13,60,60,15,60,60,60,60,60,17,13.5,60,60,13.5,60,60,60,60,60,17,11.5,60,60,13.5,60,60,60,60,60,17,11.5,60,60,11.5,60,60,60,60,60,17,9.5,60,60,11.5,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,9.5,7.5,60,60,7.5,60,60,60,60,60,8.5,5.5,60,60,7.5,60,60,60,60,60,13,9.5,60,60,9.5,60,60,60,60,60,13,7.5,60,60,9.5,60,60,60,60,60,15,12.5,60,60,12.5,60,60,60,60,60,15,10.5,60,60,12.5,60,60,60,60,60
Ch64,60,60,60,60,17,15,60,60,15,60,60,17.5,15,60,60,15,60,60,60,60,60,17.5,13,60,60,15,60,60,60,60,60,17,13.5,60,60,13.5,60,60,60,60,60,17,11.5,60,60,13.5,60,60,60,60,60,17,11.5,60,60,11.5,60,60,60,60,60,17,9.5,60,60,11.5,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,9.5,7.5,60,60,7.5,60,60,60,60,60,8.5,5.5,60,60,7.5,60,60,60,60,60,13,9.5,60,60,9.5,60,60,60,60,60,13,7.5,60,60,9.5,60,60,60,60,60,15,12.5,60,60,12.5,60,60,60,60,60,15,10.5,60,60,12.5,60,60,60,60,60
Ch68,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Ch72,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Ch76,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Ch80,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Ch84,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Ch88,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Ch92,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Ch96,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Ch100,60,60,60,60,18,15.5,60,60,15.5,60,60,17.5,15.5,60,60,15.5,60,60,60,60,60,17.5,13.5,60,60,15.5,60,60,60,60,60,17.5,15,60,60,15,60,60,60,60,60,17.5,13,60,60,15,60,60,60,60,60,17,13,60,60,13,60,60,60,60,60,17,11,60,60,13,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,10,8,60,60,8,60,60,60,60,60,11,6,60,60,8,60,60,60,60,60,13,9.5,60,60,9.5,60,60,60,60,60,13,7.5,60,60,9.5,60,60,60,60,60,15,12.5,60,60,12.5,60,60,60,60,60,15,10.5,60,60,12.5,60,60,60,60,60
Ch104,60,60,60,60,18,15.5,60,60,15.5,60,60,17.5,15.5,60,60,15.5,60,60,60,60,60,17.5,13.5,60,60,15.5,60,60,60,60,60,17.5,15,60,60,15,60,60,60,60,60,17.5,13,60,60,15,60,60,60,60,60,17,13,60,60,13,60,60,60,60,60,17,11,60,60,13,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,10,8,60,60,8,60,60,60,60,60,11,6,60,60,8,60,60,60,60,60,13,9.5,60,60,9.5,60,60,60,60,60,13,7.5,60,60,9.5,60,60,60,60,60,15,12.5,60,60,12.5,60,60,60,60,60,15,10.5,60,60,12.5,60,60,60,60,60
Ch108,60,60,60,60,18,15.5,60,60,15.5,60,60,17.5,15.5,60,60,15.5,60,60,60,60,60,17.5,13.5,60,60,15.5,60,60,60,60,60,17.5,15,60,60,15,60,60,60,60,60,17.5,13,60,60,15,60,60,60,60,60,17,13,60,60,13,60,60,60,60,60,17,11,60,60,13,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,10,8,60,60,8,60,60,60,60,60,11,6,60,60,8,60,60,60,60,60,13,9.5,60,60,9.5,60,60,60,60,60,13,7.5,60,60,9.5,60,60,60,60,60,15,12.5,60,60,12.5,60,60,60,60,60,15,10.5,60,60,12.5,60,60,60,60,60
Ch112,60,60,60,60,18,15.5,60,60,15.5,60,60,17.5,15.5,60,60,15.5,60,60,60,60,60,17.5,13.5,60,60,15.5,60,60,60,60,60,17.5,15,60,60,15,60,60,60,60,60,17.5,13,60,60,15,60,60,60,60,60,17,13,60,60,13,60,60,60,60,60,17,11,60,60,13,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,10,8,60,60,8,60,60,60,60,60,11,6,60,60,8,60,60,60,60,60,13,9.5,60,60,9.5,60,60,60,60,60,13,7.5,60,60,9.5,60,60,60,60,60,15,12.5,60,60,12.5,60,60,60,60,60,15,10.5,60,60,12.5,60,60,60,60,60
Ch116,60,60,60,60,18,15,60,60,15,60,60,17.5,15.5,60,60,15.5,60,60,60,60,60,17.5,13.5,60,60,15.5,60,60,60,60,60,17,14.5,60,60,14.5,60,60,60,60,60,17,12.5,60,60,14.5,60,60,60,60,60,16.5,13.5,60,60,13.5,60,60,60,60,60,16.5,11.5,60,60,13.5,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,11,9,60,60,9,60,60,60,60,60,11,7,60,60,9,60,60,60,60,60,13,9.5,60,60,9.5,60,60,60,60,60,13,7.5,60,60,9.5,60,60,60,60,60,15,12.5,60,60,12.5,60,60,60,60,60,15,10.5,60,60,12.5,60,60,60,60,60
Ch120,60,60,60,60,18,15,60,60,15,60,60,17.5,15.5,60,60,15.5,60,60,60,60,60,17.5,13.5,60,60,15.5,60,60,60,60,60,17,14.5,60,60,14.5,60,60,60,60,60,17,12.5,60,60,14.5,60,60,60,60,60,16.5,13.5,60,60,13.5,60,60,60,60,60,16.5,11.5,60,60,13.5,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,11,9,60,60,9,60,60,60,60,60,11,7,60,60,9,60,60,60,60,60,13,9.5,60,60,9.5,60,60,60,60,60,13,7.5,60,60,9.5,60,60,60,60,60,15,12.5,60,60,12.5,60,60,60,60,60,15,10.5,60,60,12.5,60,60,60,60,60
Ch124,60,60,60,60,18,15,60,60,15,60,60,17.5,15.5,60,60,15.5,60,60,60,60,60,17.5,13.5,60,60,15.5,60,60,60,60,60,17,14.5,60,60,14.5,60,60,60,60,60,17,12.5,60,60,14.5,60,60,60,60,60,16.5,13.5,60,60,13.5,60,60,60,60,60,16.5,11.5,60,60,13.5,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,11,9,60,60,9,60,60,60,60,60,11,7,60,60,9,60,60,60,60,60,13,9.5,60,60,9.5,60,60,60,60,60,13,7.5,60,60,9.5,60,60,60,60,60,15,12.5,60,60,12.5,60,60,60,60,60,15,10.5,60,60,12.5,60,60,60,60,60
Ch128,60,60,60,60,18,15,60,60,15,60,60,17.5,15.5,60,60,15.5,60,60,60,60,60,17.5,13.5,60,60,15.5,60,60,60,60,60,17,14.5,60,60,14.5,60,60,60,60,60,17,12.5,60,60,14.5,60,60,60,60,60,16.5,13.5,60,60,13.5,60,60,60,60,60,16.5,11.5,60,60,13.5,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,11,9,60,60,9,60,60,60,60,60,11,7,60,60,9,60,60,60,60,60,13,9.5,60,60,9.5,60,60,60,60,60,13,7.5,60,60,9.5,60,60,60,60,60,15,12.5,60,60,12.5,60,60,60,60,60,15,10.5,60,60,12.5,60,60,60,60,60
Ch132,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Ch136,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Ch140,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Ch144,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Ch149,60,60,60,60,18,15.5,60,60,15.5,60,60,18,15,60,60,15,60,60,60,60,60,18,13,60,60,15,60,60,60,60,60,17.5,15,60,60,15,60,60,60,60,60,17.5,13,60,60,15,60,60,60,60,60,17,14.5,60,60,14.5,60,60,60,60,60,17,12.5,60,60,14.5,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,10.5,9,60,60,9,60,60,60,60,60,60,7,60,60,9,60,60,60,60,60,13,10,60,60,10,60,60,60,60,60,13,8,60,60,10,60,60,60,60,60,15,13,60,60,13,60,60,60,60,60,15,11,60,60,13,60,60,60,60,60
Ch153,60,60,60,60,18,15.5,60,60,15.5,60,60,18,15,60,60,15,60,60,60,60,60,18,13,60,60,15,60,60,60,60,60,17.5,15,60,60,15,60,60,60,60,60,17.5,13,60,60,15,60,60,60,60,60,17,14.5,60,60,14.5,60,60,60,60,60,17,12.5,60,60,14.5,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,10.5,9,60,60,9,60,60,60,60,60,60,7,60,60,9,60,60,60,60,60,13,10,60,60,10,60,60,60,60,60,13,8,60,60,10,60,60,60,60,60,15,13,60,60,13,60,60,60,60,60,15,11,60,60,13,60,60,60,60,60
Ch157,60,60,60,60,18,15.5,60,60,15.5,60,60,18,15,60,60,15,60,60,60,60,60,18,13,60,60,15,60,60,60,60,60,17.5,15,60,60,15,60,60,60,60,60,17.5,13,60,60,15,60,60,60,60,60,17,14.5,60,60,14.5,60,60,60,60,60,17,12.5,60,60,14.5,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,10.5,9,60,60,9,60,60,60,60,60,60,7,60,60,9,60,60,60,60,60,13,10,60,60,10,60,60,60,60,60,13,8,60,60,10,60,60,60,60,60,15,13,60,60,13,60,60,60,60,60,15,11,60,60,13,60,60,60,60,60
Ch161,60,60,60,60,18,15.5,60,60,15.5,60,60,18,15,60,60,15,60,60,60,60,60,18,13,60,60,15,60,60,60,60,60,17.5,15,60,60,15,60,60,60,60,60,17.5,13,60,60,15,60,60,60,60,60,17,14.5,60,60,14.5,60,60,60,60,60,17,12.5,60,60,14.5,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,10.5,9,60,60,9,60,60,60,60,60,60,7,60,60,9,60,60,60,60,60,13,10,60,60,10,60,60,60,60,60,13,8,60,60,10,60,60,60,60,60,15,13,60,60,13,60,60,60,60,60,15,11,60,60,13,60,60,60,60,60
Ch165,60,60,60,60,18,15.5,60,60,15.5,60,60,18,15,60,60,15,60,60,60,60,60,18,13,60,60,15,60,60,60,60,60,17.5,15,60,60,15,60,60,60,60,60,17.5,13,60,60,15,60,60,60,60,60,17,14.5,60,60,14.5,60,60,60,60,60,17,12.5,60,60,14.5,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,10.5,9,60,60,9,60,60,60,60,60,60,7,60,60,9,60,60,60,60,60,13,10,60,60,10,60,60,60,60,60,13,8,60,60,10,60,60,60,60,60,15,13,60,60,13,60,60,60,60,60,15,11,60,60,13,60,60,60,60,60
Ch169,60,60,60,60,18,15.5,60,60,15.5,60,60,18,15,60,60,15,60,60,60,60,60,18,13,60,60,15,60,60,60,60,60,17.5,15,60,60,15,60,60,60,60,60,17.5,13,60,60,15,60,60,60,60,60,17,14.5,60,60,14.5,60,60,60,60,60,17,12.5,60,60,14.5,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,10.5,9,60,60,9,60,60,60,60,60,60,7,60,60,9,60,60,60,60,60,13,10,60,60,10,60,60,60,60,60,13,8,60,60,10,60,60,60,60,60,15,13,60,60,13,60,60,60,60,60,15,11,60,60,13,60,60,60,60,60
Ch173,60,60,60,60,18,15.5,60,60,15.5,60,60,18,15,60,60,15,60,60,60,60,60,18,13,60,60,15,60,60,60,60,60,17.5,15,60,60,15,60,60,60,60,60,17.5,13,60,60,15,60,60,60,60,60,17,14.5,60,60,14.5,60,60,60,60,60,17,12.5,60,60,14.5,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,10.5,9,60,60,9,60,60,60,60,60,60,7,60,60,9,60,60,60,60,60,13,10,60,60,10,60,60,60,60,60,13,8,60,60,10,60,60,60,60,60,15,13,60,60,13,60,60,60,60,60,15,11,60,60,13,60,60,60,60,60
Ch177,60,60,60,60,18,15.5,60,60,15.5,60,60,18,15,60,60,15,60,60,60,60,60,18,13,60,60,15,60,60,60,60,60,17.5,15,60,60,15,60,60,60,60,60,17.5,13,60,60,15,60,60,60,60,60,17,14.5,60,60,14.5,60,60,60,60,60,17,12.5,60,60,14.5,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,10.5,9,60,60,9,60,60,60,60,60,60,7,60,60,9,60,60,60,60,60,13,10,60,60,10,60,60,60,60,60,13,8,60,60,10,60,60,60,60,60,15,13,60,60,13,60,60,60,60,60,15,11,60,60,13,60,60,60,60,60
Ch181,60,60,60,60,18,15.5,60,60,15.5,60,60,18,15,60,60,15,60,60,60,60,60,18,13,60,60,15,60,60,60,60,60,17.5,15,60,60,15,60,60,60,60,60,17.5,13,60,60,15,60,60,60,60,60,17,14.5,60,60,14.5,60,60,60,60,60,17,12.5,60,60,14.5,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,10.5,9,60,60,9,60,60,60,60,60,60,7,60,60,9,60,60,60,60,60,13,10,60,60,10,60,60,60,60,60,13,8,60,60,10,60,60,60,60,60,15,13,60,60,13,60,60,60,60,60,15,11,60,60,13,60,60,60,60,60
